"recordIdentifier","recordType","organizationIdentifier","programIdentifier","memberIdentifier","previousMemberIdentifier","memberStatus","fullName","firstName","middleName","lastName","streetLine1","streetLine2","city","state","postalCode","country","phoneNumber","emailAddress"
"4ab65ae5-fdde-4522-8c70-b07cdfcae93c","MEM_SYN","100","13","59","NULL","OPEN","Wwv nqeqa2w 7cpj ywx","NULL","l jwmedulfqlolk0o2cp","nfbtlPpvp1oqaWhBeib ","NULL","NULL","rzi4a uzk  jVHqiw 2r","h87nI6s kflkf ebwltl","nsicfNz Dtl qatrcv9d","NULL","NULL","NULL"
"824b27ca-9787-49d1-a134-8392515bd180","MEM_SYN","100","13","63","NULL","OPEN","NULL"," AsfZdzZ lchoc9uj7ys","NULL","NULL","uaCqdwwCxfUhYndg pwd","NULL","NULL","NULL","nanv5wbrs vnzjmAfzi1","NULL","1oXkczj4bz xx dayzk","baes5nfvcjygnsyTmjis"
"46d98a9c-823e-4739-9462-fc20b7ad0826","MEM_SYN","100","13","67","NULL","OPEN","lxlxgcg31YQ6soumsry6","NULL","orzffygxr6 B3ocwsvnn","dcnadvbqdPwXflr41 nt","cqmhcFrst bnyy mbfjq","NULL","NULL","oaQdjUezx wqtZhxgjyc"," fkdj8jq8iPtrbhc 9lz","fpx2ok88dzp6 dg1fpyt","NULL","NULL"
"cadd538b-2146-4500-9de9-ec0db41211eb","MEM_SYN","100","13","68","NULL","OPEN","jrnrukltlU lyuFwhpgq","gtw0zogxyizy4 yffheC","oz Ihcxpgddn8x av0zs","NULL","kvfhvnmfdpnv4s kqhav","NULL","xxgHrauyqO6uuxmjsvye"," 8ucEfpiluXljoiexe9e","NULL","NULL","ms  n1guu gv macswyk","tRpprkl9K1bpts cry r"
"98959445-e8e1-4d12-9d9c-ba0dc2803ad5","MEM_SYN","100","13","70","NULL","OPEN","iltfozfq0j hfqbt5Rqm","im0Qtpp pn3zhkbjhbhh","NULL","NULL","zxoq9ptugj xtjzfnGOf","jv7ljq6jpk3u fmz tzs","NULL"," rc5rci a9ppmtcgxibk","NULL","w bmw k1b bztvmazg 2","8c n6fsywf alhpmssxf","xr6nkknoa9edrg3ggdn "
"26f571f2-9ef7-4242-9e28-1b368c24f8f0","MEM_SYN","100","13","71","NULL","OPEN","kkvs9eijzfpdqvs16peu","NULL","qpiKjx7mKJgkzmnc1yom","NULL","NULL","5bpn gQlwan nsLhxgiw","cz4 Rhixzb  pi0rydro","NULL","mtgryksblGK4kfrVxned","NULL","NULL","kpzzezecxrmvgxzhhlck"
"f451911a-9eda-49fc-a4b7-fa5f41d29b21","MEM_SYN","100","13","72","NULL","OPEN","3i ofkqqG bLjrxdaoig","NULL","liRhN1iyDkbajq4ushwx","NULL","eeyiebdjrs2oz6hhwztb","NULL","eUxfakk5xlvulklgenQx","pn qh2t3bx0f4h u 7cs","m wzzxcvn rbyzc7mfdk","vwlq llxhurVzmzsonwi","qhzmmkcbzn ms1Echzuc","1xyiefmsPuk hst ie B"
"a7e37c98-4ba0-4dcc-b4f8-221e9ab2c372","MEM_SYN","100","13","74","NULL","OPEN","NULL","hplfzzuzzomXsvHikGyt","ObejnelewmhemSfm oCm","zBr rK65tlctzpew 0gt","NULL","ecxvgqce FTv8t zsuzp","NULL","NULL","NULL","NULL","NULL","vlxjzrjyYdjlqvvbda9 "
"11f5248d-aad3-426f-8350-80929a71fbdf","MEM_SYN","100","13","76","NULL","OPEN","NULL","NULL","NULL","qg o ar3n xsoVcuyupT","NULL","NULL","p WTug 2zlkuhzvtyvkm"," rkgvgyig3rhyeoowrzi","Waoomvozeur addCb07s","NULL","nkdazyxrmuhamvmq7yox","NULL"
"9cee36cf-0601-4d78-8899-04713aafc643","MEM_SYN","100","13","77","NULL","OPEN","NULL","zql 6bb FukShbdlrpnn","uikenekscphkco4asamr","iy4einaknaendvebcziu","yIntjdjucy2lq2rhw5rz","guWmus ckntfm0zxaqwn","NULL","NULL","vpoxtunuelu crmlrufQ","NULL","8jKkgsxmmm88rzcq3z4f","gg spxwz fT l6mqwwi "
"a1217fd3-dd89-4070-93ab-6845dd8fed68","MEM_SYN","100","13","78","NULL","OPEN","orcwmipdBhp58qrxzabv","poliec pudelqbOsMhqa","NULL","xcdsblh yndhvh0isq r","NULL","NULL","zmyvfhmxikqsdjahxxjg","NULL","pdtmokzknlpkmmjImvYj","aktrk L8qa yVen7malF","NULL","NULL"
"19769e7d-5123-47c8-9e5c-0144f184adec","MEM_SYN","100","13","79","NULL","OPEN","NULL","pumhynieb fusk5cjdb7","NULL","NULL","ni73qkgtww7fxohcwugs","NULL"," sztbfvZonF54py jfsa","iv  BzgzK ez9vxorKug","t4gkFbcy8uyy7uwe 7v ","NULL","ppd1vdzd fKVydvzcqn4","NULL"
"7671fe16-2f37-41ae-b418-9ccbafd28a58","MEM_SYN","100","13","80","NULL","OPEN","NULL","uycplf2iB0kxmf Tfacf","ruak5Xoav5ugudk33pmf","NULL"," Q 6rlujv5Cgunfp87co","tXqxtxcknivq13ilzfmq","NULL","NULL","NULL","NULL","NULL","NULL"
"30f9c32f-85b3-4203-9640-0cb069a10dd5","MEM_SYN","100","13","83","NULL","OPEN","mrVmitxNd nuUizgmhuR","vsm ct4nhipmfhbhyaa ","xldaqv9xthnlM6irbkdf","NULL","q 4zseqefxwnhfzpgsts","NULL","dzczgwu anntkupYtyrp","ff Aq vgfkqldhaojz3a"," fbueibvmrkll1nlrrvk","NULL","fU1qmkgDjqqghida 7l","NULL"
"e9f6e7a9-75eb-4b27-a6d7-c97b94bf95b0","MEM_SYN","100","13","85","NULL","OPEN","it1xfytxfsikznumimqj","hn3pctb yf 4a5cqk qc","NULL","NULL","NULL","yw1m1 ejvtbiaXm9to2f","NULL","lpkya ay2bqozbrskl j","xj qg1fpmazmp9gqdtlm","NULL","gqfauq7s3  jgrtcf1x","NULL"
"52d0881e-2d92-435b-b8de-a63702f46e23","MEM_SYN","100","13","86","NULL","OPEN","NULL","mps cxx nuqnyqrmNswh","lwacquf7hk9uyQb3tcGt","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"234b485c-4616-45d9-a75f-a7af26161b47","MEM_SYN","100","13","87","NULL","OPEN","NULL","ftmewll  qkvliwr2lVl","sqlfflqe fgqqgfj2yry","NULL","NULL","NULL","NULL","NULL","vadjjonp8pqppydv0thv","erzgzxdzdibumxg bhkA","NULL","eHjlwhburvj6q8ontvje"
"fb5053b6-d511-4baa-a020-9419fc8dac2d","MEM_SYN","100","13","88","NULL","OPEN","syqPTyycmnuw mxtlDci","NULL","NULL"," mzsw8uczTqum3pfe9rn","NULL","loax9f rK nbtjserqtu","NULL","fdqesn mccweysdyiicp","NULL","NULL","NULL","NULL"
"9d043b6b-fc3c-47d4-a565-c6ac4120f79e","MEM_SYN","100","13","94","NULL","OPEN","NULL","NULL"," jyx h zztkwfblLcezv","bxioc ecwPmi6KwvEivy","r6et5uyChs swghunppz","NULL","rhremjQclOwro ttmlnt","khmaBdyrhf3rFp mjmcx","NULL","NULL","NULL","NULL"
"255b7da3-680c-4784-a007-6cc60aff7591","MEM_SYN","100","13","99","NULL","OPEN","cjltsQzyu2spprmjfko4","arc mmvdag7ixFssnytp","NULL","NULL","NULL","zcflkuuwhnghdvno1ngy","kz0hcazurena8C5rWwsO","NULL","NULL","NULL","NULL","zlkYroroytdyfnVjchlo"
"f940984c-00f8-4999-bce7-f6da278a8734","MEM_SYN","100","13","102","NULL","OPEN","NULL","SuwvghZrpylzqVm oqnl","r XFlvfyNnoedxmrprpj","ewiiQTk0xtLzc jvdauv","NULL","gyhbubyv tiwvvz8NmuK","C9Jiiibf nenuam1oWfq","f telw7d a7wybpvzxts","NULL","NULL","NULL","NULL"
"9779bef5-e2e8-4070-99e5-855dfafd2e4e","MEM_SYN","100","13","105","NULL","OPEN","cgbhz dubsjvaavwywxm","NULL","NULL","HRmzuv4z tmlenmigytk","NULL","igg9tednddGbzohcoph ","zrfsufkxapW7euharrea","NULL","tcajclg euvemnnYwthn","kjup4fdfv9Tvh9oRZvhb","zekqa Nsfig qa wml n","3gfykZhnse Bjnq cl2o"
"54f8a03a-1749-45ab-b8ba-6cceebc51554","MEM_SYN","100","13","106","NULL","OPEN","qlmtxVoaoyqxhkd w0N4","xgfzggiy7wiAnuo mntc","zsValquxzCkyn XmuhIn","5amx6ianbjaDmjsgybgy","dtxnxqxvajdmG uitnqv","NULL","xjpbd  mjnookXp3xcYl","pu  ceuijx qmr ncnoy","NULL","NULL","MWghHqvvSuytbe hdjvy","fdxauw86dnzsJCvfnbqe"
"dd2e4718-0c07-48e3-852e-2791f41861d3","MEM_SYN","100","13","109","NULL","OPEN","qb8Rilooww ctaaqnzbd","NULL","bv Xnez9om2il4ivqyo7","NULL","NULL","NULL","NULL","NULL","NULL","fen fwr6bxgoXh0sQu6m","NULL","NULL"
"3ba68f6e-73e9-4f26-90f7-d11a068bd5e1","MEM_SYN","100","13","111","NULL","OPEN","NULL","NULL","NULL","bnwqzlZgsthrihcs zuk","8fUrkrjyegnaokYg13 p","iqvrpbcpzpgpdWrhdods","NULL","NULL","mwh eao pBp4Yrswn7xz","NULL","l4rrhn cemrsukoo1rrm","NULL"
"ea9f656a-c992-4a2f-9359-67b83f8c5bcc","MEM_SYN","100","13","112","NULL","CLOSED","NULL","NULL"," prbeis9haWgunlq9cwx","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2mfwczsddYcnqrbqbxz","djigcbjekosbxnzgvMie"
"abbe1eb6-0094-43d8-9b63-2f490bfa3eec","MEM_SYN","100","13","113","NULL","OPEN","NULL","NULL","NULL","NULL","NULL","NULL","6 gWxounaykbejIwwnhg","NULL","NULL","NULL","NULL","gzywmtbzw  uutbpdzhw"
"718bd6fe-cb4e-408d-98c8-7522113138c3","MEM_SYN","100","13","116","NULL","OPEN","Dxoxvfrfarzmbl ctp6g","NULL","ioh4q86vkxm8wfdff5aj","NULL","NULL","NULL","n9mdgwdMIpObmscz  ln","NULL","NULL"," e lftjfmb2rnytbamqh","fzkecKhvHffKzxkoFEaV","ulvLfo9dvewiwaekglzc"
"bda1718f-6a24-4053-857e-492c3a69ed3c","MEM_SYN","100","13","118","NULL","OPEN","NULL","pAwsolhfTihypo3Z  h ","sm2lzoh1y GUoaytzbia","NULL","NULL","ntkvZGuzmvkxxznoyabU","3rwfa ankojhw3tj  oh","NULL","NULL","0 1gk skhAdkqi ykqfy","spEbmfpr7o zlvjtdvbq","NULL"
"cad1f7a4-5d75-433b-b673-dc559def5f22","MEM_SYN","100","13","122","NULL","OPEN","lqy bxPr1brdsfamcqqo","NULL","b9uzcv8poaal5xjdojak","azgFVnjexmBvckw9l9 f","NULL","vgbsiic f sgffltxtwc","NULL","joiXJavmzvkhk7nmoimr","l nena5gkjpuehgL0fnt","NULL","0mXxerm8 iwtbr gQdg","NULL"
"c7c47c79-9482-440d-91f5-b4e7fc9b8725","MEM_SYN","100","13","123","NULL","OPEN","NULL","NULL","NULL","NULL","tugygulaysvuZY mxu k","ikq1gjcwwgjH zomlikC","NULL","NULL","gcxczrmv1CqegPdkrz9j","NULL","NULL","jPis  bq Q w 1fga4fl"
"312a5189-67ef-4114-9d1c-6990c65eb60d","MEM_SYN","100","13","124","NULL","OPEN","m dilwfpyuh3t7jvssrd","NULL","NULL","ywcqLpidsmPvdIBhkcor","ug fnhodXv zogqnygwq","D7nndsli3teud laQgpw","NULL","NULL","NULL","NULL","NULL","uuezqkzhwnqdi  ujgck"
"59532d47-1caf-4c2d-8538-c2534bff3462","MEM_SYN","100","13","126","NULL","OPEN","NULL","hzygiaxZ5 t opbnqdZc","J guvaousooLretnf vx","jorftdhi23lgolFgez6m","zFohyi kq9i2 p 0r fv","NULL","NULL","NULL","NULL","mSzwjesikllpx7ypu2 i","NULL","SeqeazrYlmztVfnmlxxl"
"d0886007-78bd-4719-8781-ea7b63b4a5f5","MEM_SYN","100","13","128","NULL","OPEN","NULL","NULL","NULL","NULL","NULL"," slf dept alnr6toEr3","rq17zduArqdkso1Sgdpz","NULL","pirwsjypsctd5hvzbjik","qexijc4ybwrnpknfvHci","KpennxXgdoydxb2bepzi","NULL"
"af658589-6266-4845-9d70-f86e17c78529","MEM_SYN","100","13","131","NULL","OPEN","leipu9rmskjhwkdbqfip"," 9aumxvbtwpghxebvk r","NULL","hclcotcxt oqxfguxngj","3aaPfLsroxzowbopqad7"," Rdz jihrsqwoqsamxab","NULL","NULL","NULL","NULL","xhFzuga7fcvzsf9Cono","NULL"
"b9e5dfe8-db2f-41e0-b3dd-5b999c9e597f","MEM_SYN","100","13","132","NULL","OPEN","NULL","NULL","rdcxnuitv ob9ygunigc"," hvzmzdpezVnhxjheBdm","NULL","NULL","o h mSt6ytqrTWchwfwo","m1wsSrx3Lle4reddNauk","uv iWldnecwrs2lpRo u","vkngyfkgjtuwmjgof3yo","NULL","zzlpyy onkeuiqtu aoy"
"32dca93b-f11e-422a-b810-1dc0df060cf7","MEM_SYN","100","13","133","NULL","OPEN","NULL","NULL","NULL","onubgdm3valxZtLacrhg","NULL","NULL"," sgjb mgoxUwbrtwr3Lz","NULL","qfhqhnn ubtyilw uRmJ","NULL","NULL","gUuvoyf aypsynfzMvsr"
"50961922-3b75-4211-9c8b-6d2f18758b55","MEM_SYN","100","13","138","NULL","OPEN","NULL","NULL","NULL","NULL","zf 25 vou j5awfihtzq","vypapoqvxkjxnelnvAxm","NULL","NULL","nhRsbQteuapYaplqpa f","NULL","vxlxfuo4BbkJz zbvsyF","c2lbOc6q jftq8wzndoh"
"9e004dfc-ff5e-45a2-b457-d8efd5ad1ada","MEM_SYN","100","13","139","NULL","OPEN","NULL","NULL","NULL","NULL","jfa jncyix rijgzxkZt","eiyref xnkkdzvks7wum","EZpk 6HQ3 uge3ukp4pr","xpjrkxPvp4v2i pfg8wi","fzo rywjF2e3brvwqc4T","NULL","ivIyeikbsg de67sakbo","Xauuqh n7eqcjEkrfgs3"
"ae7ba0b0-ba51-4701-87c1-e84508590b6c","MEM_SYN","100","13","141","NULL","OPEN","rbspk4rmeaemx1extmez","0gnxde IybnzkcsfXUm ","NULL","NULL","NULL","pkxafqxhsaU3vamblUhW","NULL","NULL","rswsmcqrbwFcgmgr4elr","uwasfxzfiebDpw  skCt","NULL","kt Gmrbg cghmgvmfhxM"
"fef8f3b1-0795-4ae7-9ba1-52d71b7f9112","MEM_SYN","100","13","142","NULL","OPEN","xtqamoColyExHbktyfyt","nemcyheslirigtzslg f","NULL","w keva5 7smqvjy3becn","NULL","NULL","pbreylehx q a Y SrbZ","NULL","NULL","NULL","NULL","NULL"
"b68a46db-a7f2-4b4a-b20d-0f13658dc5fa","MEM_SYN","100","13","147","NULL","OPEN"," whxwyvj2kuzvywdmcen","a2dth4rdxgbnbya pnkE","NULL","NULL","NULL","NULL","NULL","G eugjklstphkwukrKfw","NULL","NULL","wSzffopv9wkiz5bxvavl","way2yLlfly Tprueoqqb"
"3201e1b2-1031-4f96-906e-a2cb1c3182e5","MEM_SYN","100","13","148","NULL","OPEN","NULL","Hmamemlov lqyzjbzzgh"," v utg9oksXpyHki1ksz","m uygg9i1fckiyltbaso","fwoiY hd yp7zFzgkobm","NULL","ranqvuhwoz exrzUkz7e","odpcaeum t2yrgkwqoik","pdxd wv Jc ij1aifymx","NULL","NULL","wcjtn32qm5j qqx gi T"
"5eaca7ad-c0ab-429e-ba96-701d713d8e22","MEM_SYN","100","13","149","NULL","OPEN","soJo pzrjGe nmzk ftO","7ivnwwskeiv dxzvoci2","NULL","lipqcmsoauyqs4twjhaf","NULL","NULL","tlrSzrfoeEuzyuus6stz","NULL","NULL","NULL","eolldVvcqyitbSgtvLz","Ekw0ifXiq detr6mzxQy"
"242dad7c-495d-48eb-b4a3-1b5269583800","MEM_SYN","100","13","153","NULL","OPEN","NULL","NULL","t0dfjD ywr8u hjcs6Jb","kfum idqcmoE9iktz fd","dwve ubiemAoPt nwuzb","NULL","ac3qbvmxmr1tasyhovyq","NULL","NULL","x mmhiabzduarrjtsreg","bn6hajxCtkov5a 8b x","NULL"
"9e9df2a2-94a0-45ee-8cd0-4a539fc24436","MEM_SYN","100","13","157","NULL","OPEN","NULL","NULL","NULL","bnsqtffFiy4jzcnxdntc","mrqxzSv id7pwqiqahjx","aoPwiwlnvZatosus5jef","NULL","NULL","NULL","NULL","PCe qq6cuhllcwfdDop","naxwhbhiffdni2kdkp m"
"bbad7fc3-2c47-4f97-a897-eaff7d60a68d","MEM_SYN","100","13","158","NULL","OPEN","NULL","I30j5ohuglreKnxetgfk","NULL","NULL","sNudosx8gkmzo6u4zygU","byej4in va0plbnqfsdp","zcaYtKflHhLrevmdrgp ","NULL"," kdcBStlkpqB0yvcqbr ","ulvQuelhhipQ71ksOc  ","NULL","lutq7qOrM7csSfzkk1zy"
